aarónico, ca=cat: A;source: ;
abarraz=cat: M;source: ;
abarredera=cat: F;source: ;
abarrenar=cat: VT;source: ;
abarrer=cat: VT;source: ;
abarrisco=cat: R;source: ;
abarrotar=cat: VT;source: ;
abarrote=cat: M;source: ;
abarrotería=cat: F;source: ;
abarrotero, ra=cat: MF;source: ;
abarse=cat: VP;source: ;
abasí=cat: A;source: ;
abastadamente=cat: R;source: ;
abastamiento=cat: M;source: ;
abastante=cat: A;source: ;
abastanza=cat: R,F;source: ;
abastar=cat: VI,VT,VP;source: ;
abastardar=cat: VI;source: ;
abastecedor, ra=cat: A,M;source: ;
abastecer=cat: VT;source: ;
abastecimiento=cat: M;source: ;
abastero=cat: M;source: ;
abastimiento=cat: M;source: ;
abastionar=cat: VT;source: ;
abasto=cat: R,M;source: ;
abatanado, da=cat: A,M;source: ;
abatanar=cat: VT,VP;source: ;
abatatamiento=cat: M;source: ;
abatatar=cat: VT;source: ;
abate=cat: M;source: ;
abatible=cat: A;source: ;
abatí=cat: M;source: ;
abatidero=cat: M;source: ;
abatido, da=cat: A;source: ;
abatidura=cat: F;source: ;
abatimiento=cat: M;source: ;
abatir=cat: VI,VT,VP;source: ;
abatismo=cat: M;source: ;
abatojar=cat: VT;source: ;
abayado, da=cat: A;source: ;
abazón=cat: M;source: ;
abderitano, na=cat: A;source: ;
abdicación=cat: F;source: ;
abdicar=cat: VT;source: ;
abdicativamente=cat: R;source: ;
abdicativo, va=cat: A;source: ;
abdomen=cat: M;source: ;
abdominal=cat: A;source: ;
abducción=cat: F;source: ;
abductor, ra=cat: A;source: ;
abecé=cat: M;source: ;
abecedario=cat: M;source: ;
abedul=cat: M;source: ;
abeja=cat: F;source: ;
abejar=cat: M;source: ;
abejarrón=cat: M;source: ;
abejaruco=cat: M;source: ;
abejear=cat: VI;source: ;
abejero, ra=cat: MF,M,F;source: ;
abejón=cat: M;source: ;
abejonear=cat: VI;source: ;
abejoneo=cat: M;source: ;
abejorrear=cat: VI;source: ;
abejorreo=cat: M;source: ;
abejorro=cat: M;source: ;
abejuno, na=cat: A;source: ;
abeldar=cat: VT;source: ;
abellacado, da=cat: A;source: ;
abellacar=cat: VT;source: ;
abellota=cat: F;source: ;
abellotado, da=cat: A;source: ;
abelmosco=cat: M;source: ;
abemoladamente=cat: R;source: ;
abemolar=cat: VT;source: ;
abencerraje=cat: ;source: ;
abenuz=cat: M;source: ;
abéñola=cat: F;source: ;
abéñula=cat: F;source: ;
aberenjenado, da=cat: A;source: ;
aberración=cat: F;source: ;
aberrante=cat: A;source: ;
aberrar=cat: VI;source: ;
abertal=cat: A;source: ;
abertura=cat: F;source: ;
aberzale=cat: A;source: ;
abesana=cat: F;source: ;
abés=cat: R;source: ;
abesón=cat: M;source: ;
abestiado, da=cat: A;source: ;
abestializado, da=cat: A;source: ;
abéstola=cat: F;source: ;
abetal=cat: M;source: ;
abetar=cat: M;source: ;
abetinote=cat: M;source: ;
abeto=cat: M;source: ;
abetuna=cat: F;source: ;
abetunado, da=cat: A;source: ;
abetunar=cat: VT;source: ;
abey=cat: M;source: ;
abia=cat: F;source: ;
abiar=cat: M;source: ;
abibollo=cat: M;source: ;
abicharse=cat: VP;source: ;
abiertamente=cat: R;source: ;
abierto, ta=cat: A,R,M,F,LAdj;source: ;
abietáceo, a=cat: A,F;source: ;
abiete=cat: M;source: ;
abietíneo, a=cat: A;source: ;
abietino, na=cat: A,M;source: ;
abigarrado, da=cat: A;source: ;
abigarramiento=cat: M;source: ;
abigarrar=cat: VT,VP;source: ;
abigeato=cat: M;source: ;
abigeo=cat: M;source: ;
abigotado, da=cat: A;source: ;
abinar=cat: VT;source: ;
ab initio=cat: LAdv;source: ;
ab intestato=cat: LAdv;source: ;
abintestato=cat: M;source: ;
abiogénesis=cat: F;source: ;
abiótico, ca=cat: A;source: ;
abipón, na=cat: A,M;source: ;
ab irato=cat: LAdv;source: ;
abisagrar=cat: VT;source: ;
abisal=cat: A;source: ;
abiselar=cat: VT;source: ;
abisinio, nia=cat: A,M;source: ;
abismado, da=cat: A;source: ;
abismar=cat: VT,VP;source: ;
abismático, ca=cat: A;source: ;
abismo=cat: M;source: ;
abiso=cat: M;source: ;
abita=cat: F;source: ;
abitadura=cat: F;source: ;
abitaque=cat: M;source: ;
abitar=cat: VT;source: ;
abitón=cat: M;source: ;
abizcochado, da=cat: A;source: ;
abjuración=cat: F;source: ;
abjurar=cat: VT;source: ;
ablación=cat: F;source: ;
ablandabrevas=cat: ;source: ;
ablandador, ra=cat: A;source: ;
ablandahígos=cat: ;source: ;
ablandamiento=cat: M;source: ;
ablandar=cat: VI,VT,VP;source: ;
ablandativo, va=cat: A;source: ;
ablande=cat: M;source: ;
ablandecer=cat: VT;source: ;
ablanedo o ablanero=cat: M;source: ;
ablano=cat: M;source: ;
ablatorio, ria=cat: A;source: ;
-able=cat: ;source: ;
ablegado=cat: M;source: ;
ablentador=cat: M;source: ;
ablentar=cat: VT;source: ;
ablución=cat: F;source: ;
ablusado, da=cat: A;source: ;
abnegación=cat: F;source: ;
abnegado, da=cat: A;source: ;
abnegar=cat: VT;source: ;
abobado, da=cat: A;source: ;
abobamiento=cat: M;source: ;
abobar=cat: VT;source: ;
abobra=cat: F;source: ;
abocadear=cat: VT;source: ;
abocado, da=cat: A;source: ;
abocamiento=cat: M;source: ;
abocanar=cat: VI;source: ;
abocar=cat: VI,VT,VP;source: ;
abocardado, da=cat: A;source: ;
abocardar=cat: VT;source: ;
abocardo=cat: M;source: ;
abocelado, da=cat: A;source: ;
abocetado, da=cat: A;source: ;
abocetamiento=cat: M;source: ;
abocetar=cat: VT;source: ;
abochornado, da=cat: A;source: ;
abochornar=cat: VT,VP;source: ;
abocinado, da=cat: A;source: ;
abocinamiento=cat: M;source: ;
abofado, da=cat: A;source: ;
abofarse=cat: VP;source: ;
abofeteador, ra=cat: A;source: ;
abofetear=cat: VT;source: ;
abogacía=cat: F;source: ;
abogaderas=cat: F;source: ;
abogadesco, ca=cat: A;source: ;
abogadil=cat: A;source: ;
abogadismo=cat: M;source: ;
abogado, da=cat: MF,M;source: ;
abogador, ra=cat: A,M;source: ;
abogamiento=cat: M;source: ;
abogar=cat: VI;source: ;
abohetado, da=cat: A;source: ;
abolaga=cat: F;source: ;
abolengo=cat: M;source: ;
abolición=cat: F;source: ;
abolicionismo=cat: M;source: ;
abolicionista=cat: A;source: ;
abolir=cat: VT;source: ;
abollado1, da=cat: A,M;source: ;
abolladura=cat: F;source: ;
abollonar=cat: VI,VT;source: ;
abollón=cat: M;source: ;
abolorio=cat: M;source: ;
abolsado, da=cat: A;source: ;
abolsarse=cat: VP;source: ;
abomaso=cat: M;source: ;
abombado1, da=cat: A;source: ;
abominable=cat: A;source: ;
abominación=cat: F;source: ;
abominar=cat: VT;source: ;
abonable=cat: A;source: ;
abonado, da=cat: A,MF,M;source: ;
abonador, ra=cat: A,MF,M,F;source: ;
abonanzar=cat: VI;source: ;
abonar=cat: VI,VT,VP;source: ;
abonaré=cat: M;source: ;
abondado, da=cat: A;source: ;
abondamiento=cat: M;source: ;
abondar=cat: VI,VT;source: ;
abondo=cat: R,M;source: ;
abondoso, sa=cat: A;source: ;
abonero, ra=cat: MF;source: ;
abono=cat: M;source: ;
aboquillado, da=cat: A;source: ;
aboquillar=cat: VT;source: ;
aboral=cat: A;source: ;
abordable=cat: A;source: ;
abordador, ra=cat: A;source: ;
abordaje=cat: M,LAdv;source: ;
abordar=cat: VI,VT;source: ;
abordo=cat: M;source: ;
abordonar=cat: VI;source: ;
aborigen=cat: A;source: ;
aborlonado, da=cat: A;source: ;
aborrachado, da=cat: A;source: ;
aborrajarse=cat: VP;source: ;
aborrascarse=cat: VP;source: ;
aborrecedor, ra=cat: A;source: ;
aborrecer=cat: VT;source: ;
aborrecible=cat: A;source: ;
aborrecimiento=cat: M;source: ;
aborregado, da=cat: A;source: ;
aborregarse=cat: VP;source: ;
aborrible=cat: A;source: ;
aborrir=cat: VT;source: ;
aborronar=cat: VI;source: ;
aborso=cat: M;source: ;
abortadura=cat: F;source: ;
abortamiento=cat: M;source: ;
abortar=cat: VI,VT;source: ;
abortista=cat: ;source: ;
abortivo, va=cat: A;source: ;
aborto=cat: M;source: ;
abortón=cat: M;source: ;
aborujar=cat: VT,VP;source: ;
abotagamiento=cat: M;source: ;
abotagarse=cat: VP;source: ;
abotargamiento=cat: M;source: ;
abotargarse=cat: VP;source: ;
abotinado, da=cat: A;source: ;
abotonador=cat: M;source: ;
abotonadura=cat: F;source: ;
abotonar=cat: VI,VT;source: ;
abovedado, da=cat: A;source: ;
abovedamiento=cat: M;source: ;
abovedar=cat: VT;source: ;
ab ovo=cat: LAdv;source: ;
aboyado, da=cat: A;source: ;
abozalar=cat: VT;source: ;
abozo=cat: M;source: ;
abracadabra=cat: M;source: ;
abracadabrante=cat: A;source: ;
abracar=cat: VT;source: ;
abra=cat: F;source: ;
abracijarse=cat: VP;source: ;
abracijo=cat: M;source: ;
Abraham=cat: ;source: ;
abrasadamente=cat: R;source: ;
abrasador, ra=cat: A;source: ;
abrasamiento=cat: M;source: ;
abrasar=cat: VI,VT,VP;source: ;
abrasilado, da=cat: A;source: ;
abrasión=cat: F;source: ;
abrasivo, va=cat: A;source: ;
abravar=cat: VT;source: ;
abravecer=cat: VT;source: ;
abraxas=cat: M,F;source: ;
abrazada=cat: F;source: ;
abrazadera=cat: F;source: ;
abrazador, ra=cat: A,M;source: ;
abrazamiento=cat: M;source: ;
abrazar=cat: VT;source: ;
abrazo=cat: M;source: ;
abreboca=cat: M;source: ;
abrebotellas=cat: M;source: ;
abrecartas=cat: M;source: ;
abrecoches=cat: M;source: ;
abregancias=cat: F;source: ;
ábrego=cat: M;source: ;
abrelatas=cat: M;source: ;
abrenunciar=cat: VT;source: ;
abrenuncio=cat: I;source: ;
abreojos=cat: M;source: ;
abrepuño=cat: M;source: ;
abretonar=cat: VT;source: ;
abrevadero=cat: M;source: ;
abrevador, ra=cat: A,M;source: ;
abrevar=cat: VT,VP;source: ;
abreviación=cat: F;source: ;
abreviadamente=cat: R;source: ;
abreviado, da=cat: A;source: ;
abreviador, ra=cat: A,M;source: ;
abreviaduría=cat: F;source: ;
abreviamiento=cat: M;source: ;
abreviar=cat: VI,VT,VP;source: ;
abreviatura=cat: F,LAdv;source: ;
abreviaturía=cat: F;source: ;
abrezar=cat: VT;source: ;
abriboca=cat: F;source: ;
abribonado, da=cat: A;source: ;
abribonarse=cat: VP;source: ;
abridero, ra=cat: A,M;source: ;
abridor, ra=cat: A,M;source: ;
abrigadero=cat: M;source: ;
abrigado, da=cat: A,M,F;source: ;
abrigador, ra=cat: A;source: ;
abrigadura=cat: F;source: ;
abrigamiento=cat: M;source: ;
abrigaño=cat: M;source: ;
abrigar=cat: VT;source: ;
abrigo=cat: M,LAdv,LAdj;source: ;
ábrigo=cat: M;source: ;
abril=cat: M;source: ;
abrileño, ña=cat: A;source: ;
abrillantador, ra=cat: A,M;source: ;
abrillantar=cat: VT;source: ;
abrimiento=cat: M;source: ;
abriolar=cat: VT;source: ;
abrir=cat: VI,VT,VP;source: ;
abrochador=cat: M;source: ;
abrochadura=cat: F;source: ;
abrochamiento=cat: M;source: ;
abrochar=cat: VT;source: ;
abrogación=cat: F;source: ;
abrogar=cat: VT;source: ;
abrojal=cat: M;source: ;
abrojillo=cat: M;source: ;
abrojín=cat: M;source: ;
abrojo=cat: M;source: ;
abroma=cat: M;source: ;
abromado, da=cat: A;source: ;
abromar=cat: VT,VP;source: ;
abroncar=cat: VT;source: ;
abroquelado, da=cat: A;source: ;
abroquelar=cat: VT,VP;source: ;
abrótano=cat: M;source: ;
abrotoñar=cat: VI;source: ;
abrumador, ra=cat: A;source: ;
abrumar=cat: VT,VP;source: ;
abrumarse=cat: VP;source: ;
abrunal=cat: M;source: ;
abruno=cat: M;source: ;
abruñal=cat: M;source: ;
abruño=cat: M;source: ;
abrupción=cat: F;source: ;
abrupto, ta=cat: A;source: ;
abrutado, da=cat: A;source: ;
abruzarse=cat: VP;source: ;
abruzo, za=cat: A;source: ;
absceso=cat: M;source: ;
abscisa=cat: F;source: ;
abscisión=cat: F;source: ;
absconder=cat: VT;source: ;
absencia=cat: F;source: ;
absenta=cat: F;source: ;
absentarse=cat: VP;source: ;
absente=cat: A;source: ;
absentismo=cat: M;source: ;
absentista=cat: A;source: ;
ábsida=cat: F;source: ;
absidal=cat: A;source: ;
ábside=cat: ;source: ;
absidial=cat: A;source: ;
absidiolo=cat: M;source: ;
absintio=cat: M;source: ;
ábsit=cat: I;source: ;
absolución=cat: F;source: ;
absolutamente=cat: R;source: ;
absolutidad=cat: F;source: ;
absolutismo=cat: M;source: ;
absolutista=cat: A;source: ;
absolutorio, ria=cat: A;source: ;
absoluto, ta=cat: A,F,LAdv;source: ;
absolvederas=cat: F;source: ;
absolvedor, ra=cat: A;source: ;
absolver=cat: VT;source: ;
absorbencia=cat: F;source: ;
absorbente=cat: A,M;source: ;
absorber=cat: VT;source: ;
absorbible=cat: A;source: ;
absorbimiento=cat: M;source: ;
absorciómetro=cat: M;source: ;
absorción=cat: F;source: ;
absortar=cat: VT;source: ;
absorto, ta=cat: A;source: ;
abstemio, mia=cat: A;source: ;
abstención=cat: F;source: ;
abstencionismo=cat: M;source: ;
abstencionista=cat: A;source: ;
abstener=cat: VT,VP;source: ;
abstergente=cat: A;source: ;
absterger=cat: VT;source: ;
abstersión=cat: F;source: ;
abstersivo, va=cat: A;source: ;
abstinencia=cat: F;source: ;
abstinente=cat: A;source: ;
abstracción=cat: F;source: ;
abstractivo, va=cat: A;source: ;
abstracto, ta=cat: A,LAdv;source: ;
abstraer=cat: VI,VT,VP;source: ;
abstraído, da=cat: A;source: ;
abstruso, sa=cat: A;source: ;
absuelto, ta=cat: ;source: ;
absurdidad=cat: F;source: ;
absurdo, da=cat: A,M;source: ;
abubilla=cat: F;source: ;
abubo=cat: M;source: ;
abuchear=cat: VT;source: ;
abucheo=cat: M;source: ;
abuelastro, tra=cat: MF;source: ;
abuelazón=cat: F;source: ;
abuelo, la=cat: MF,M;source: ;
abuenar=cat: VT,VP;source: ;
abuhado, da=cat: A;source: ;
abuhamiento=cat: M;source: ;
abuhardillado, da=cat: A;source: ;
abujardar=cat: VT;source: ;
abuje=cat: M;source: ;
abulaga=cat: F;source: ;
abulagar=cat: M;source: ;
abulencia=cat: F;source: ;
abulense=cat: A;source: ;
abulia=cat: F;source: ;
abúlico, ca=cat: A;source: ;
abullonar=cat: VT;source: ;
abulonar=cat: VT;source: ;
abulón=cat: M;source: ;
abultado, da=cat: A;source: ;
abultamiento=cat: M;source: ;
abultar=cat: VI,VT;source: ;
abundado, da=cat: A;source: ;
abundamiento=cat: M,LAdv;source: ;
abundancia=cat: F,LAdv;source: ;
abundancial=cat: A;source: ;
abundante=cat: A;source: ;
abundantemente=cat: R;source: ;
abundar=cat: VI,VT;source: ;
abundo=cat: R,M;source: ;
abundoso, sa=cat: A;source: ;
abuñolado, da=cat: A;source: ;
abuñolar=cat: VT;source: ;
abuñuelado, da=cat: A;source: ;
abuñuelar=cat: VT;source: ;
aburar=cat: VT;source: ;
abur=cat: I;source: ;
aburelado, da=cat: A;source: ;
aburguesamiento=cat: M;source: ;
aburguesarse=cat: VP;source: ;
aburrado, da=cat: A;source: ;
aburrarse=cat: VP;source: ;
aburrición=cat: F;source: ;
aburridamente=cat: R;source: ;
aburrido, da=cat: A;source: ;
aburridor, ra=cat: A;source: ;
aburrimiento=cat: M;source: ;
aburrir=cat: VT,VP;source: ;
aburujar=cat: VT;source: ;
abusado, da=cat: A;source: ;
abusador, ra=cat: A;source: ;
abusar=cat: VI,VP;source: ;
abusión=cat: F;source: ;
abusionero, ra=cat: A;source: ;
abusivo, va=cat: A;source: ;
abuso=cat: M;source: ;
abusón, na=cat: A;source: ;
abutagar=cat: VT;source: ;
abuzarse=cat: VP;source: ;
abyección=cat: F;source: ;
abyecto, ta=cat: A;source: ;
acabable=cat: A;source: ;
acabadamente=cat: R;source: ;
acabado, da=cat: A,M,F;source: ;
acabador, ra=cat: A;source: ;
acabadura=cat: F;source: ;
acabalar=cat: VT;source: ;
acaballadero=cat: M;source: ;
acaballado, da=cat: A;source: ;
acaballar=cat: VT;source: ;
acaballerado, da=cat: A;source: ;
acaballerar=cat: VT;source: ;
acaballonar=cat: VT;source: ;
acabamiento=cat: M;source: ;
acabangado, da=cat: A;source: ;
acabangarse=cat: VP;source: ;
acabañar=cat: VI;source: ;
acabar=cat: VI,VT,LAdj;source: ;
acabe=cat: M;source: ;
acabellado, da=cat: A;source: ;
acabestrillar=cat: VI;source: ;
acabijo=cat: M;source: ;
acabildar=cat: VT;source: ;
acabo=cat: M;source: ;
acabose=cat: ;source: ;
acabronado, da=cat: A;source: ;
aca=cat: F;source: ;
acá=cat: R;source: ;
acacharse=cat: VP;source: ;
acachetar=cat: VT;source: ;
acachetear=cat: VT;source: ;
acachorrar=cat: VT;source: ;
acacia=cat: F;source: ;
acaciano=cat: A;source: ;
academia=cat: F;source: ;
académicamente=cat: R;source: ;
academicismo=cat: M;source: ;
academicista=cat: A;source: ;
académico, ca=cat: A,MF;source: ;
academio=cat: M;source: ;
academista=cat: ;source: ;
academizar=cat: VT;source: ;
acadio, dia=cat: A,M;source: ;
acaecedero, ra=cat: A;source: ;
acaecimiento=cat: M;source: ;
acafresna=cat: F;source: ;
acaguasarse=cat: VP;source: ;
acahual=cat: M;source: ;
acairelar=cat: VT;source: ;
acalabrotar=cat: VT;source: ;
acalambrar=cat: VT;source: ;
acal=cat: ;source: ;
acaldar=cat: VT,VP;source: ;
acalefo=cat: A,M;source: ;
acalenturarse=cat: VP;source: ;
acalia=cat: F;source: ;
acallador, ra=cat: A;source: ;
acallantar=cat: VT;source: ;
acallar=cat: VT;source: ;
acalmar=cat: VT;source: ;
acaloñar=cat: VT;source: ;
acaloradamente=cat: R;source: ;
acalorado, da=cat: A;source: ;
acaloramiento=cat: M;source: ;
acalorar=cat: VT,VP;source: ;
acalórico, ca=cat: A;source: ;
acaloro=cat: M;source: ;
acalugar=cat: VT;source: ;
acalumniador, ra=cat: A;source: ;
acalumniar=cat: VT;source: ;
acamado, da=cat: A;source: ;
acamar=cat: VT,VP;source: ;
acamaya=cat: F;source: ;
acambrayado, da=cat: A;source: ;
acamellado, da=cat: A;source: ;
acamellonar=cat: VT;source: ;
acampada=cat: F,LAdv;source: ;
acampamento=cat: M;source: ;
acampanado, da=cat: A;source: ;
acampanar=cat: VT;source: ;
acampar=cat: VI;source: ;
acampo=cat: M;source: ;
acamuzado, da=cat: A;source: ;
ácana=cat: F;source: ;
acanalado, da=cat: A;source: ;
acanalador=cat: M;source: ;
acanaladura=cat: F;source: ;
acanalar=cat: VT;source: ;
acanallado, da=cat: A;source: ;
acanallar=cat: VT;source: ;
acandilado, da=cat: A;source: ;
acanelado, da=cat: A;source: ;
acanelonar=cat: VT;source: ;
acanillado, da=cat: A;source: ;
acanilladura=cat: F;source: ;
acantáceo, a=cat: A,F;source: ;
acantalear=cat: VI;source: ;
acantarar=cat: VT;source: ;
acantear=cat: VT;source: ;
acantilado, da=cat: A,M;source: ;
acantilar=cat: VT;source: ;
acantinflado, da=cat: A;source: ;
acantio=cat: M;source: ;
acanto=cat: M;source: ;
acantocéfalo, la=cat: A,M;source: ;
acantonamiento=cat: M;source: ;
acantonar=cat: VT;source: ;
acantopterigio, gia=cat: A,M;source: ;
acañaverear=cat: VT;source: ;
acañonear=cat: VT;source: ;
acañutado, da=cat: A;source: ;
acapaneca=cat: A;source: ;
acaparador, ra=cat: A;source: ;
acaparamiento=cat: M;source: ;
acaparar=cat: VT;source: ;
acaparrarse=cat: VP;source: ;
acaparrosado, da=cat: A;source: ;
acapillar=cat: VT;source: ;
acápite=cat: M;source: ;
acapizarse=cat: VP;source: ;
acaponado, da=cat: A;source: ;
acapullarse=cat: VP;source: ;
acapulqueño, ña=cat: A;source: ;
acaracolado, da=cat: A;source: ;
acarambanado, da=cat: A;source: ;
acaramelado, da=cat: A;source: ;
acaramelar=cat: VT,VP;source: ;
acarar=cat: VT;source: ;
acardenalar=cat: VT,VP;source: ;
acareamiento=cat: M;source: ;
acarear=cat: VT,VP;source: ;
acariciador, ra=cat: A;source: ;
acariciar=cat: VT;source: ;
acárido, da=cat: A,M;source: ;
acarminado, da=cat: A;source: ;
acarnerado, da=cat: A;source: ;
ácaro=cat: M;source: ;
acaronar=cat: VT;source: ;
acarralado=cat: M;source: ;
acarraladura=cat: F;source: ;
acarralar=cat: VT,VP;source: ;
acarrarse=cat: VP;source: ;
acarrascado, da=cat: A;source: ;
acarrazarse=cat: VP;source: ;
acarreadizo, za=cat: A;source: ;
acarreado, da=cat: A;source: ;
acarreador, ra=cat: A,M;source: ;
acarreamiento=cat: M;source: ;
acarrear=cat: VT;source: ;
acarreo=cat: M,LAdj;source: ;
acarretar=cat: VT;source: ;
acarreto=cat: M;source: ;
acartonado, da=cat: A;source: ;
acartonarse=cat: VP;source: ;
acasamatado, da=cat: A;source: ;
acasarado=cat: ;source: ;
acaserarse=cat: VP;source: ;
acaso=cat: R,M,LAdv;source: ;
acastañado, da=cat: A;source: ;
acastillado, da=cat: A;source: ;
acastorado, da=cat: A;source: ;
acatable=cat: A;source: ;
acatadamente=cat: R;source: ;
acatadura=cat: F;source: ;
acataléctico=cat: A;source: ;
acatalecto=cat: A;source: ;
acatamiento=cat: M;source: ;
acatanca=cat: F;source: ;
acatar=cat: VT,VP;source: ;
acatarrar=cat: VT,VP;source: ;
acateca=cat: A,M;source: ;
a=cat: F,LAdv,S;source: ;
acato=cat: M;source: ;
acatólico, ca=cat: A;source: ;
acaudalado, da=cat: A;source: ;
acaudalador, ra=cat: A;source: ;
acaudalar=cat: VT;source: ;
acaudillador, ra=cat: A;source: ;
acaudillamiento=cat: M;source: ;
acaudillar=cat: VT,VP;source: ;
acaule=cat: A;source: ;
acautelarse=cat: VP;source: ;
acceder=cat: VI;source: ;
accesibilidad=cat: F;source: ;
accesible=cat: A;source: ;
accesional=cat: A;source: ;
accesión=cat: F,LAdv;source: ;
accésit=cat: M;source: ;
acceso=cat: M;source: ;
accesoriamente=cat: R;source: ;
accesorio, ria=cat: A,M,F;source: ;
accidentabilidad=cat: F;source: ;
accidentadamente=cat: R;source: ;
accidentado, da=cat: A;source: ;
accidental=cat: A,M;source: ;
accidentalidad=cat: F;source: ;
accidentalmente=cat: R;source: ;
accidentar=cat: VT,VP;source: ;
accidentariamente=cat: R;source: ;
accidentario, ria=cat: A;source: ;
accidente=cat: M,LAdv;source: ;
accionable=cat: A;source: ;
accionado=cat: M;source: ;
accionamiento=cat: M;source: ;
accionar=cat: VI,VT;source: ;
accionariado=cat: M;source: ;
accionarial=cat: A;source: ;
accionario, ria=cat: A,MF;source: ;
acción=cat: F,LAdj,I;source: ;
accionista=cat: ;source: ;
accitano, na=cat: A;source: ;
-ácea=cat: ;source: ;
acebadamiento=cat: M;source: ;
acebadar=cat: VT;source: ;
acebal=cat: M;source: ;
acebeda=cat: F;source: ;
acebedo=cat: M;source: ;
acebibe=cat: ;source: ;
acebo=cat: M;source: ;
acebollado, da=cat: A;source: ;
acebolladura=cat: F;source: ;
acebrado, da=cat: A;source: ;
acebuchal=cat: A,M;source: ;
acebuche=cat: M;source: ;
acebucheno, na=cat: A;source: ;
acebuchina=cat: F;source: ;
acechadera=cat: F;source: ;
acechadero=cat: M;source: ;
acechador, ra=cat: A;source: ;
acechamiento=cat: M;source: ;
acechanza=cat: F;source: ;
acechar=cat: VT;source: ;
aceche=cat: M;source: ;
acecho=cat: M;source: ;
acechón, na=cat: A;source: ;
acecido=cat: M;source: ;
acecinar=cat: VT,VP;source: ;
acedamente=cat: R;source: ;
acedar=cat: VT,VP;source: ;
acedera=cat: F;source: ;
acederaque=cat: M;source: ;
acederilla=cat: F;source: ;
acederón=cat: M;source: ;
acedo, da=cat: A,M;source: ;
acedura=cat: F;source: ;
acefalía=cat: F;source: ;
acefalismo=cat: M;source: ;
acéfalo, la=cat: A,M;source: ;
